,CommonCrawl_alignment,CommonCrawl_gender
sportswear athleticwear,-0.044,0
laundry equipment,-0.149,0
cereals,-0.067,0
fishing tackle equipment,-0.277,0
web design domain hosting services,-0.108,0
chips nuts popcorn pretzels,-0.152,0
investment products services,-0.157,0
coffee,-0.087,0
automotive batteries,-0.165,0
amusement water theme parks,-0.165,0
bedding linens,-0.071,0
artificial sweeteners,-0.07,0
men scents fragrances aftershaves,-0.17,0
pasta pasta dishes,-0.092,0
women shoes boots,-0.099,0
mattresses box springs,-0.167,0
cruise ship travel,-0.095,0
cold cough sinus asthma remedies,-0.175,0
stationery greeting cards miscellaneous paper goods,-0.157,0
office furniture accessories,-0.168,0
women shaving supplies,-0.121,0
cooking oils,-0.071,0
vehicles sales leasing,-0.135,0
peanut butter sandwich spreads,-0.124,0
paint,-0.14,0
handbags,0.061,1
insurance agencies brokers,-0.12,0
cookies crackers,-0.062,0
sporting goods,-0.151,0
candy mints,-0.105,0
employment agencies,-0.105,0
toy stores,-0.107,0
household batteries,-0.163,0
household paper products,-0.184,0
beauty shops,-0.032,0
dishwashing detergents,-0.048,0
coffee donut restaurants,-0.1,0
deodorants antiperspirants,0.022,1
security fire safety systems,-0.168,0
loan credit products services,-0.15,0
electronic video games software,-0.183,0
cat dog food,-0.111,0
beer ale,-0.165,0
travel services,-0.121,0
mens shaving equipment supplies,-0.229,0
tv networks stations production companies,-0.136,0
toothpaste whiteners,-0.079,0
pain remedies,-0.12,0
nutritional supplements,-0.084,0
religious charitable humanitarian,-0.118,0
multipurpose cleaners,-0.087,0
sporting goods stores,-0.139,0
sunglasses,-0.116,0
internet service providers,-0.141,0
skin care products,-0.121,0
casual dining restaurants,-0.118,0
ice cream frozen novelties sherbet,-0.132,0
desktop computers,-0.07,0
advertising marketing printing services,-0.138,0
face makeup,-0.096,0
cable television providers systems,-0.138,0
printers printing accessories,-0.155,0
cocoa milk additives,-0.106,0
unisex scents fragrances perfumes,-0.027,0
sneakers,-0.15,0
women scents fragrances perfumes,-0.015,0
snow skis boards blades accessories,-0.138,0
credit cards,-0.13,0
stuffed toys,-0.143,0
dinnerware glassware pottery,-0.037,0
cameras,-0.101,0
fragrances,-0.006,0
