,category,alignment,gender
33,advertising marketing printing services,-0.05098103648911301,M
52,amusement water theme parks,0.020033488616983574,F
21,artificial sweeteners,0.09966673078777616,F
60,automotive batteries,-0.020808731880823834,M
55,beauty shops,0.3241669139270751,F
2,bedding linens,0.09018051280430336,F
4,beer ale,-0.0048483843916977964,M
48,cable television providers systems,-0.10193358771807959,M
16,cameras,-0.046821392341621054,M
22,candy mints,0.09915768185091642,F
5,casual dining restaurants,0.03267931755110774,F
3,cat dog food,0.10941236293875359,F
62,cereals,-0.014758390528123236,M
17,chips nuts popcorn pretzels,0.07284771336908508,F
9,cocoa milk additives,0.07812141356919716,F
64,coffee,0.06884000556189786,F
59,coffee donut restaurants,0.07733400163673777,F
19,cold cough sinus asthma remedies,0.06713600012689375,F
51,cookies crackers,0.12476117982054144,F
15,cooking oils,0.03337709618506784,F
40,credit cards,0.04722588444482873,F
24,cruise ship travel,0.12842071295605245,F
11,deodorants antiperspirants,0.05556213216990407,F
46,desktop computers,0.02764460486151932,F
37,dinnerware glassware pottery,0.0981110442224909,F
7,dishwashing detergents,0.017287420152936436,F
38,electronic video games software,-0.05804718756857185,M
28,employment agencies,-0.010134550466008746,M
8,face makeup,0.16957756851376837,F
56,fishing tackle equipment,-0.051905323670301554,M
27,fragrances,0.05911542539019822,F
42,handbags,0.1614436986567997,F
0,household batteries,0.04970278821846419,F
50,household paper products,0.05055178415189904,F
71,ice cream frozen novelties sherbet,0.13367756551477547,F
10,insurance agencies brokers,-0.022423044445570722,M
61,internet service providers,-0.027438433797042167,M
54,investment products services,-0.051076765419871384,M
66,laundry equipment,0.0025826907745432797,F
70,loan credit products services,0.005276612015191126,F
63,mattresses box springs,0.05050514776223671,F
65,men scents fragrances aftershaves,-0.17196075106279504,M
6,mens shaving equipment supplies,-0.29474410131629225,M
47,multipurpose cleaners,-0.06772771303065558,M
58,nutritional supplements,0.028929497685471185,F
53,office furniture accessories,0.08191364917832421,F
1,pain remedies,0.02885385579963204,F
18,paint,0.003205174660630996,F
44,pasta pasta dishes,0.10879921032431036,F
36,peanut butter sandwich spreads,0.09141431992014301,F
67,printers printing accessories,-0.04397561524563934,M
69,religious charitable humanitarian,0.02264152323045974,F
57,security fire safety systems,-0.06445423474980094,M
14,skin care products,0.12080878053151044,F
26,sneakers,-0.029067272029225093,M
31,snow skis boards blades accessories,-0.012601069711041274,M
35,sporting goods,-0.09597532922546856,M
68,sporting goods stores,-0.06824646448418129,M
13,sportswear athleticwear,-0.07571853099065916,M
43,stationery greeting cards miscellaneous paper goods,0.024680594117610706,F
30,stuffed toys,0.03647484439298239,F
23,sunglasses,-0.007136676527234528,M
32,toothpaste whiteners,0.05520970529980841,F
41,toy stores,0.010771400599418623,F
25,travel services,-0.06876105253454887,M
34,tv networks stations production companies,-0.06640602777996757,M
45,unisex scents fragrances perfumes,0.13745295156380113,F
12,vehicles sales leasing,-0.08388457344279959,M
49,web design domain hosting services,-0.003049498753131437,M
29,women scents fragrances perfumes,0.5002102799594217,F
20,women shaving supplies,0.4676324129453777,F
39,women shoes boots,0.415145250285464,F
